epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.064,1.23915,8.02929,0.00751,0.43665,0.32364,0.26096,0.17861,1.10304,4.56235,0.00744,0.000114758,0.000114758,0.000114758
2,213.947,1.16811,2.73645,0.0069,0.6083,0.56483,0.57092,0.41386,1.06681,2.05098,0.0072,0.000226915,0.000226915,0.000226915
3,320.249,1.17389,1.82579,0.00706,0.67806,0.64096,0.67721,0.49344,1.07709,1.40228,0.00732,0.000336226,0.000336226,0.000336226
4,426.503,1.14785,1.46771,0.00688,0.78753,0.65766,0.74182,0.55191,1.03261,1.12407,0.00697,0.000332192,0.000332192,0.000332192
5,532.844,1.1255,1.24674,0.00686,0.7798,0.7295,0.76876,0.55771,1.09268,1.04614,0.00756,0.000327922,0.000327922,0.000327922
6,639.602,1.10483,1.13002,0.0065,0.81373,0.72698,0.7765,0.58095,1.02027,0.92624,0.00695,0.000323653,0.000323653,0.000323653
7,745.944,1.09039,1.00676,0.00644,0.86928,0.75451,0.81774,0.61178,1.01043,0.75237,0.00684,0.000319384,0.000319384,0.000319384
8,852.688,1.06009,0.93903,0.00633,0.82444,0.77085,0.81767,0.62303,0.97015,0.74664,0.00648,0.000315114,0.000315114,0.000315114
9,959.122,1.0594,0.87463,0.00622,0.85645,0.78511,0.83277,0.62999,0.98832,0.67724,0.00666,0.000310845,0.000310845,0.000310845
10,1065.75,1.02985,0.82934,0.00613,0.8878,0.7794,0.84518,0.64365,0.96617,0.65553,0.00647,0.000306576,0.000306576,0.000306576
11,1172.12,1.03145,0.80052,0.00609,0.89259,0.79146,0.87034,0.6594,1.00395,0.66488,0.00679,0.000302306,0.000302306,0.000302306
12,1278.39,1.02599,0.7766,0.00605,0.90814,0.79519,0.86049,0.6647,0.94479,0.62303,0.00631,0.000298037,0.000298037,0.000298037
13,1385.04,1.01469,0.73705,0.00597,0.906,0.80597,0.89063,0.68487,0.94302,0.62845,0.00628,0.000293768,0.000293768,0.000293768
14,1491.37,0.99611,0.72958,0.00586,0.91547,0.7997,0.86392,0.66113,0.96135,0.58196,0.00636,0.000289498,0.000289498,0.000289498
15,1597.11,0.9935,0.70512,0.00577,0.87708,0.83954,0.9083,0.69778,0.94399,0.57604,0.00627,0.000285229,0.000285229,0.000285229
16,1703.37,0.98425,0.65837,0.00578,0.8786,0.83336,0.87862,0.67628,0.93166,0.55091,0.00614,0.000280959,0.000280959,0.000280959
17,1809.37,0.97325,0.64352,0.00571,0.8389,0.89195,0.90619,0.69885,0.93677,0.54972,0.00621,0.00027669,0.00027669,0.00027669
18,1915.54,0.97373,0.63482,0.00576,0.89538,0.84372,0.89524,0.69078,0.91154,0.54948,0.00601,0.000272421,0.000272421,0.000272421
19,2021.39,0.95804,0.61278,0.00562,0.87157,0.83784,0.89419,0.70024,0.91468,0.54393,0.00606,0.000268151,0.000268151,0.000268151
20,2127.64,0.95402,0.61799,0.00559,0.87634,0.88499,0.91076,0.70682,0.92355,0.50004,0.00622,0.000263882,0.000263882,0.000263882
21,2234.15,0.93637,0.58229,0.00551,0.91377,0.85507,0.92748,0.72325,0.93081,0.52259,0.00621,0.000259612,0.000259612,0.000259612
22,2340.42,0.93168,0.57948,0.00546,0.88901,0.89413,0.92105,0.72353,0.89832,0.48245,0.00592,0.000255343,0.000255343,0.000255343
23,2446.83,0.92724,0.57455,0.0054,0.91048,0.86546,0.92806,0.73412,0.90118,0.50018,0.00589,0.000251074,0.000251074,0.000251074
24,2553.26,0.92041,0.5731,0.00535,0.84297,0.90314,0.92228,0.725,0.90155,0.4904,0.00592,0.000246804,0.000246804,0.000246804
25,2659.09,0.9169,0.55212,0.00547,0.87952,0.89068,0.90804,0.70523,0.90267,0.49103,0.00592,0.000242535,0.000242535,0.000242535
26,2765.1,0.90211,0.53532,0.0052,0.89299,0.86737,0.90854,0.71341,0.90689,0.49512,0.00601,0.000238266,0.000238266,0.000238266
27,2871.02,0.89913,0.52779,0.00521,0.87117,0.9248,0.93651,0.7382,0.89324,0.4777,0.0058,0.000233996,0.000233996,0.000233996
28,2977.3,0.89084,0.51399,0.00529,0.94257,0.88185,0.93494,0.73805,0.90518,0.46935,0.00593,0.000229727,0.000229727,0.000229727
29,3083.18,0.88157,0.5166,0.00514,0.90895,0.89576,0.93236,0.73194,0.90506,0.48258,0.00596,0.000225457,0.000225457,0.000225457
30,3189.07,0.88639,0.51336,0.00509,0.91834,0.87673,0.93084,0.73701,0.91027,0.46247,0.00605,0.000221188,0.000221188,0.000221188
31,3294.94,0.87134,0.49591,0.00506,0.90989,0.90299,0.94454,0.74225,0.89168,0.4358,0.00584,0.000216919,0.000216919,0.000216919
32,3401.23,0.8767,0.48852,0.0052,0.93957,0.90326,0.94273,0.74618,0.88145,0.44112,0.00577,0.000212649,0.000212649,0.000212649
33,3507.52,0.87387,0.48742,0.005,0.91261,0.89965,0.9415,0.74674,0.89234,0.4503,0.00588,0.00020838,0.00020838,0.00020838
34,3613.98,0.87417,0.49578,0.00511,0.92697,0.89729,0.93761,0.73937,0.9003,0.4391,0.00587,0.000204111,0.000204111,0.000204111
35,3719.83,0.8578,0.46652,0.00494,0.92689,0.91357,0.94038,0.7432,0.88039,0.43834,0.0058,0.000199841,0.000199841,0.000199841
36,3825.72,0.85602,0.46919,0.00494,0.93071,0.88834,0.939,0.74634,0.88559,0.44707,0.00586,0.000195572,0.000195572,0.000195572
37,3931.63,0.84443,0.4669,0.00483,0.91713,0.90373,0.93478,0.74299,0.89809,0.45172,0.00595,0.000191303,0.000191303,0.000191303
38,4037.66,0.83513,0.45389,0.00471,0.92851,0.90077,0.93771,0.74811,0.88086,0.44039,0.00579,0.000187033,0.000187033,0.000187033
39,4143.93,0.83336,0.44081,0.00477,0.9062,0.90748,0.93791,0.74358,0.88376,0.42959,0.00579,0.000182764,0.000182764,0.000182764
40,4249.93,0.83195,0.44787,0.0048,0.93826,0.90211,0.93562,0.74758,0.8627,0.43081,0.00562,0.000178494,0.000178494,0.000178494
41,4356.01,0.82483,0.43539,0.00469,0.92771,0.89259,0.93909,0.74278,0.88154,0.44939,0.00575,0.000174225,0.000174225,0.000174225
42,4462.05,0.81449,0.43689,0.00473,0.9343,0.90191,0.94234,0.75023,0.86773,0.43986,0.00568,0.000169956,0.000169956,0.000169956
43,4568.4,0.82311,0.43918,0.00477,0.93731,0.92316,0.95871,0.75827,0.85917,0.43466,0.00563,0.000165686,0.000165686,0.000165686
44,4674.91,0.81192,0.42157,0.00461,0.92192,0.92085,0.9397,0.75386,0.86721,0.4317,0.00571,0.000161417,0.000161417,0.000161417
45,4780.76,0.81153,0.41599,0.00466,0.93209,0.90692,0.95652,0.75667,0.87289,0.45124,0.00576,0.000157147,0.000157147,0.000157147
46,4886.61,0.80344,0.41394,0.00461,0.92666,0.90894,0.95254,0.75833,0.86615,0.42223,0.00562,0.000152878,0.000152878,0.000152878
47,4992.98,0.81266,0.42237,0.00466,0.93444,0.9027,0.95287,0.75626,0.86607,0.43676,0.0057,0.000148609,0.000148609,0.000148609
48,5099.9,0.79971,0.4105,0.00461,0.92867,0.93489,0.95708,0.7561,0.86656,0.44349,0.00571,0.000144339,0.000144339,0.000144339
49,5205.77,0.79202,0.40398,0.00458,0.92463,0.91552,0.94421,0.7524,0.8655,0.45149,0.00569,0.00014007,0.00014007,0.00014007
50,5311.7,0.78858,0.39832,0.00453,0.93285,0.91905,0.95106,0.76087,0.85977,0.42413,0.00563,0.000135801,0.000135801,0.000135801
51,5418.09,0.77747,0.3925,0.00443,0.93183,0.91049,0.9374,0.756,0.85834,0.42433,0.00565,0.000131531,0.000131531,0.000131531
52,5524,0.77753,0.39604,0.00444,0.93861,0.93618,0.96077,0.76384,0.86099,0.43866,0.00565,0.000127262,0.000127262,0.000127262
53,5630.49,0.77498,0.38824,0.00438,0.939,0.91371,0.94745,0.76071,0.85674,0.43499,0.00561,0.000122992,0.000122992,0.000122992
54,5736.37,0.76625,0.38532,0.00439,0.92192,0.91839,0.94422,0.755,0.8611,0.43481,0.00564,0.000118723,0.000118723,0.000118723
55,5842.2,0.76332,0.38225,0.00431,0.94118,0.92597,0.9551,0.75975,0.86241,0.44579,0.00566,0.000114454,0.000114454,0.000114454
56,5948.08,0.76641,0.38373,0.00444,0.94018,0.92834,0.95259,0.75804,0.85792,0.44823,0.00565,0.000110184,0.000110184,0.000110184
57,6053.94,0.75101,0.37681,0.00428,0.94262,0.93407,0.95704,0.76254,0.85382,0.43818,0.00558,0.000105915,0.000105915,0.000105915
58,6159.75,0.75176,0.37647,0.00427,0.93606,0.93534,0.96092,0.76537,0.85491,0.43707,0.00562,0.000101646,0.000101646,0.000101646
59,6266.07,0.74728,0.37391,0.00428,0.93313,0.91759,0.94898,0.75965,0.85329,0.44869,0.00561,9.73763e-05,9.73763e-05,9.73763e-05
60,6372.02,0.74336,0.36494,0.00419,0.93907,0.92991,0.95821,0.77032,0.85985,0.44496,0.00567,9.31069e-05,9.31069e-05,9.31069e-05
61,6478.51,0.74267,0.36257,0.00419,0.94464,0.92135,0.95297,0.76295,0.85578,0.45351,0.00564,8.88375e-05,8.88375e-05,8.88375e-05
62,6584.47,0.74323,0.36294,0.00423,0.93487,0.93446,0.95279,0.7621,0.85102,0.45028,0.0056,8.45681e-05,8.45681e-05,8.45681e-05
63,6690.36,0.7389,0.36362,0.00417,0.92983,0.91449,0.94769,0.7575,0.85009,0.43723,0.00559,8.02987e-05,8.02987e-05,8.02987e-05
64,6796.47,0.72275,0.34877,0.00411,0.9323,0.9158,0.9473,0.76112,0.85039,0.44273,0.00555,7.60294e-05,7.60294e-05,7.60294e-05
65,6902.39,0.72747,0.35898,0.00412,0.9322,0.94306,0.95252,0.76247,0.84875,0.43156,0.00555,7.176e-05,7.176e-05,7.176e-05
66,7008.26,0.72657,0.34851,0.0041,0.9358,0.92016,0.95009,0.7621,0.85206,0.43487,0.00554,6.74906e-05,6.74906e-05,6.74906e-05
67,7114.33,0.72001,0.34549,0.00409,0.94181,0.93498,0.95624,0.76631,0.8472,0.44118,0.00554,6.32213e-05,6.32213e-05,6.32213e-05
