epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.392,1.41393,7.41257,0.00876,0.30658,0.29141,0.23103,0.16365,1.20605,4.30835,0.00833,0.000114758,0.000114758,0.000114758
2,213.926,1.30371,2.54927,0.00786,0.56901,0.50711,0.51622,0.35627,1.26128,2.07443,0.00885,0.000226915,0.000226915,0.000226915
3,320.702,1.30145,1.68911,0.00807,0.63985,0.66198,0.66079,0.46474,1.20078,1.31987,0.00826,0.000336226,0.000336226,0.000336226
4,426.885,1.27923,1.33345,0.00785,0.75807,0.6752,0.73772,0.54289,1.11342,1.02372,0.00757,0.000332192,0.000332192,0.000332192
5,533.425,1.2374,1.12053,0.00772,0.81319,0.6976,0.78069,0.56036,1.1303,0.92346,0.00774,0.000327922,0.000327922,0.000327922
6,639.543,1.21188,0.97425,0.00731,0.81428,0.73414,0.78078,0.57301,1.09195,0.85827,0.00743,0.000323653,0.000323653,0.000323653
7,745.697,1.19953,0.87036,0.00727,0.83265,0.76853,0.82296,0.60843,1.07177,0.66343,0.00715,0.000319384,0.000319384,0.000319384
8,851.874,1.17527,0.82895,0.00722,0.82401,0.7705,0.81784,0.61099,1.05374,0.66026,0.00709,0.000315114,0.000315114,0.000315114
9,958.144,1.16322,0.7388,0.00699,0.88254,0.78438,0.85335,0.63554,1.05335,0.5672,0.00706,0.000310845,0.000310845,0.000310845
10,1064.45,1.13304,0.69972,0.00688,0.88726,0.77956,0.85299,0.64493,1.0348,0.58625,0.007,0.000306576,0.000306576,0.000306576
11,1170.61,1.13108,0.69222,0.00685,0.80798,0.82622,0.85592,0.64073,1.05107,0.56613,0.00705,0.000302306,0.000302306,0.000302306
12,1276.42,1.12344,0.65872,0.00677,0.85825,0.82617,0.85921,0.64628,1.03483,0.52531,0.00699,0.000298037,0.000298037,0.000298037
13,1382.86,1.09994,0.62999,0.0066,0.87712,0.84353,0.89627,0.67736,1.00814,0.49785,0.00673,0.000293768,0.000293768,0.000293768
14,1489.05,1.09603,0.59633,0.00661,0.82955,0.89439,0.89263,0.68255,1.00933,0.47313,0.00679,0.000289498,0.000289498,0.000289498
15,1595.16,1.08918,0.59229,0.00649,0.84291,0.89977,0.91872,0.702,1.00388,0.46669,0.00672,0.000285229,0.000285229,0.000285229
16,1701.24,1.06891,0.54389,0.0064,0.91206,0.82529,0.90154,0.69171,1.00773,0.44804,0.00675,0.000280959,0.000280959,0.000280959
17,1807.1,1.05855,0.52955,0.0063,0.91634,0.85704,0.92298,0.71014,1.00218,0.43376,0.00669,0.00027669,0.00027669,0.00027669
