epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.96,0.70843,7.39272,0.00893,0.32483,0.34254,0.29785,0.21133,0.56878,4.28474,0.00821,0.000114758,0.000114758,0.000114758
2,215.126,0.64897,2.46175,0.00806,0.68992,0.56863,0.60829,0.43103,0.55112,1.86373,0.00813,0.000226915,0.000226915,0.000226915
3,322.048,0.64752,1.61655,0.00826,0.69868,0.66534,0.70344,0.49017,0.57321,1.20769,0.0086,0.000336226,0.000336226,0.000336226
4,428.879,0.63441,1.3035,0.00801,0.82469,0.65995,0.75068,0.5426,0.52468,1.00476,0.00769,0.000332192,0.000332192,0.000332192
5,535.855,0.62062,1.07296,0.00802,0.78062,0.74288,0.78302,0.55853,0.53659,0.85411,0.00801,0.000327922,0.000327922,0.000327922
6,642.785,0.6034,0.96272,0.00761,0.81883,0.78058,0.84006,0.60316,0.51959,0.76673,0.00779,0.000323653,0.000323653,0.000323653
7,749.644,0.59185,0.8104,0.00749,0.82286,0.82782,0.8563,0.61876,0.51969,0.64899,0.00772,0.000319384,0.000319384,0.000319384
8,856.576,0.57944,0.7904,0.0074,0.87195,0.81414,0.89326,0.6588,0.51233,0.57573,0.00751,0.000315114,0.000315114,0.000315114
9,963.405,0.57746,0.71053,0.00724,0.86457,0.79064,0.84471,0.62046,0.50484,0.56965,0.00754,0.000310845,0.000310845,0.000310845
10,1069.81,0.56352,0.6526,0.00719,0.89195,0.81953,0.85572,0.63381,0.49243,0.54805,0.00726,0.000306576,0.000306576,0.000306576
11,1176.34,0.56584,0.63934,0.00716,0.86007,0.85352,0.90268,0.66204,0.49429,0.50968,0.00736,0.000302306,0.000302306,0.000302306
12,1283.18,0.55614,0.6129,0.00702,0.82248,0.86449,0.87129,0.64977,0.48114,0.5149,0.00711,0.000298037,0.000298037,0.000298037
13,1389.61,0.54634,0.58996,0.00685,0.83375,0.88536,0.90184,0.67551,0.47358,0.48747,0.00697,0.000293768,0.000293768,0.000293768
14,1496.49,0.53646,0.56992,0.00675,0.84302,0.85635,0.90565,0.68895,0.47585,0.4642,0.00691,0.000289498,0.000289498,0.000289498
15,1603.22,0.54134,0.542,0.00674,0.88508,0.87761,0.92002,0.69039,0.4783,0.43327,0.00715,0.000285229,0.000285229,0.000285229
16,1710.19,0.53082,0.513,0.00667,0.8793,0.86299,0.91872,0.68375,0.48201,0.42278,0.00718,0.000280959,0.000280959,0.000280959
17,1816.87,0.52356,0.50485,0.00659,0.86682,0.90854,0.94437,0.70084,0.47625,0.43342,0.00701,0.00027669,0.00027669,0.00027669
18,1923.82,0.52634,0.48668,0.00667,0.92436,0.87406,0.94716,0.69848,0.46501,0.40292,0.00685,0.000272421,0.000272421,0.000272421
19,2030.26,0.51642,0.4697,0.00652,0.92438,0.87464,0.93713,0.71141,0.46189,0.41173,0.00668,0.000268151,0.000268151,0.000268151
20,2137.26,0.51551,0.48097,0.00647,0.90749,0.89149,0.93713,0.71874,0.45718,0.40162,0.00672,0.000263882,0.000263882,0.000263882
21,2244.23,0.50494,0.45553,0.00637,0.90448,0.88931,0.92857,0.71891,0.45545,0.41498,0.0067,0.000259612,0.000259612,0.000259612
22,2351.04,0.50093,0.44787,0.00631,0.9096,0.85854,0.93468,0.71718,0.45187,0.38109,0.00657,0.000255343,0.000255343,0.000255343
23,2457.48,0.50242,0.42751,0.00627,0.87499,0.88563,0.92718,0.70654,0.45471,0.39992,0.00657,0.000251074,0.000251074,0.000251074
24,2563.8,0.49933,0.42722,0.00623,0.91294,0.91624,0.95707,0.73294,0.45241,0.39291,0.00658,0.000246804,0.000246804,0.000246804
25,2670.64,0.4953,0.41608,0.00632,0.92939,0.88435,0.94606,0.72018,0.45551,0.39512,0.00666,0.000242535,0.000242535,0.000242535
26,2778.3,0.48278,0.39787,0.00596,0.90694,0.90652,0.94249,0.71797,0.454,0.38172,0.00663,0.000238266,0.000238266,0.000238266
27,2884.74,0.48678,0.39302,0.00609,0.92193,0.90426,0.94336,0.72543,0.44742,0.35892,0.00643,0.000233996,0.000233996,0.000233996
28,2991.21,0.48192,0.39875,0.00615,0.91071,0.87794,0.94992,0.7308,0.44726,0.36734,0.00645,0.000229727,0.000229727,0.000229727
29,3097.66,0.47434,0.39441,0.00597,0.91862,0.8827,0.94428,0.72315,0.44336,0.40954,0.00649,0.000225457,0.000225457,0.000225457
30,3203.96,0.47671,0.39225,0.00588,0.89588,0.92067,0.95207,0.72527,0.44914,0.37028,0.0066,0.000221188,0.000221188,0.000221188
31,3310.42,0.468,0.36706,0.00584,0.90916,0.94413,0.96156,0.74427,0.44128,0.34314,0.00631,0.000216919,0.000216919,0.000216919
32,3417.14,0.47247,0.37176,0.00602,0.93037,0.90721,0.9454,0.72952,0.45129,0.35347,0.00663,0.000212649,0.000212649,0.000212649
33,3523.76,0.47223,0.37093,0.00579,0.90642,0.90938,0.93834,0.73598,0.44013,0.34849,0.00631,0.00020838,0.00020838,0.00020838
