epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.889,0.61593,8.04246,0.0076,0.38309,0.3309,0.26923,0.18714,0.51001,4.69508,0.00733,0.000114758,0.000114758,0.000114758
2,214.707,0.57048,2.70894,0.007,0.57417,0.59528,0.5775,0.41351,0.51424,2.05024,0.00762,0.000226915,0.000226915,0.000226915
3,321.361,0.56975,1.78837,0.00715,0.66499,0.68469,0.69146,0.49257,0.52189,1.37333,0.00782,0.000336226,0.000336226,0.000336226
4,428.384,0.56276,1.44924,0.00704,0.73708,0.67808,0.74026,0.5333,0.50846,1.14819,0.00756,0.000332192,0.000332192,0.000332192
5,535.107,0.55167,1.25792,0.00704,0.77247,0.74134,0.77143,0.56635,0.49424,0.98396,0.00729,0.000327922,0.000327922,0.000327922
6,641.978,0.53546,1.09815,0.00666,0.78704,0.76389,0.81935,0.61457,0.46503,0.83295,0.00678,0.000323653,0.000323653,0.000323653
7,748.588,0.52983,0.98378,0.00658,0.85898,0.74968,0.82129,0.60889,0.47804,0.76246,0.00713,0.000319384,0.000319384,0.000319384
8,855.102,0.52246,0.9214,0.00658,0.86927,0.79737,0.84188,0.63053,0.46432,0.6651,0.00682,0.000315114,0.000315114,0.000315114
9,961.748,0.52304,0.87752,0.00646,0.88863,0.77059,0.83982,0.6334,0.45547,0.66694,0.00675,0.000310845,0.000310845,0.000310845
10,1068.51,0.50619,0.81053,0.00635,0.86653,0.79879,0.88319,0.66029,0.4614,0.715,0.00682,0.000306576,0.000306576,0.000306576
11,1175.52,0.50517,0.79667,0.00629,0.90649,0.7901,0.89839,0.66603,0.46159,0.63219,0.00685,0.000302306,0.000302306,0.000302306
12,1282.34,0.50486,0.75812,0.00631,0.78328,0.86915,0.88533,0.66675,0.4513,0.61979,0.00667,0.000298037,0.000298037,0.000298037
13,1389.45,0.49286,0.73324,0.00612,0.82447,0.83388,0.8805,0.66191,0.44751,0.64974,0.00657,0.000293768,0.000293768,0.000293768
14,1496.06,0.48799,0.70542,0.00607,0.90334,0.82205,0.89813,0.675,0.46818,0.59169,0.00703,0.000289498,0.000289498,0.000289498
15,1602.93,0.49107,0.6887,0.00607,0.8811,0.84485,0.90287,0.68193,0.4537,0.57321,0.00677,0.000285229,0.000285229,0.000285229
16,1709.94,0.4786,0.64808,0.00597,0.90356,0.82482,0.91718,0.70378,0.43532,0.55215,0.00639,0.000280959,0.000280959,0.000280959
17,1816.98,0.47787,0.64583,0.00594,0.8907,0.88469,0.92389,0.70187,0.4394,0.54088,0.00645,0.00027669,0.00027669,0.00027669
18,1923.38,0.47717,0.64652,0.006,0.83332,0.8811,0.90019,0.6896,0.43433,0.54751,0.00636,0.000272421,0.000272421,0.000272421
19,2029.81,0.46979,0.60321,0.00587,0.85872,0.87179,0.89594,0.68746,0.43724,0.52083,0.00641,0.000268151,0.000268151,0.000268151
20,2136.31,0.46981,0.61764,0.00584,0.89609,0.85919,0.91455,0.70041,0.43303,0.53927,0.00628,0.000263882,0.000263882,0.000263882
21,2242.73,0.46011,0.58708,0.00573,0.89919,0.8522,0.91766,0.70892,0.44074,0.55294,0.00654,0.000259612,0.000259612,0.000259612
22,2349.58,0.45769,0.58728,0.00568,0.88809,0.87171,0.92688,0.71661,0.42772,0.50959,0.00623,0.000255343,0.000255343,0.000255343
23,2456.46,0.45765,0.57103,0.00566,0.88293,0.88044,0.91985,0.70646,0.42631,0.51428,0.00625,0.000251074,0.000251074,0.000251074
24,2562.84,0.45364,0.57279,0.00561,0.91427,0.87568,0.9312,0.72464,0.4231,0.47123,0.00612,0.000246804,0.000246804,0.000246804
25,2669.63,0.45146,0.55877,0.0057,0.89937,0.86368,0.92566,0.72136,0.42392,0.52454,0.0062,0.000242535,0.000242535,0.000242535
26,2776.15,0.44537,0.52514,0.00544,0.9033,0.86623,0.91052,0.70163,0.42055,0.49413,0.00604,0.000238266,0.000238266,0.000238266
27,2882.52,0.44426,0.52161,0.00549,0.92856,0.88886,0.93224,0.72905,0.41468,0.48579,0.00604,0.000233996,0.000233996,0.000233996
28,2989.39,0.44342,0.52378,0.00561,0.8908,0.88882,0.93161,0.72324,0.42092,0.47813,0.00606,0.000229727,0.000229727,0.000229727
29,3095.8,0.43667,0.5119,0.00542,0.89599,0.8938,0.92359,0.71685,0.4164,0.51074,0.0061,0.000225457,0.000225457,0.000225457
30,3202.3,0.43517,0.51073,0.00531,0.91356,0.86413,0.92795,0.72258,0.41741,0.48133,0.00613,0.000221188,0.000221188,0.000221188
31,3308.71,0.42867,0.48895,0.00528,0.93083,0.8995,0.94276,0.7415,0.4156,0.45303,0.00598,0.000216919,0.000216919,0.000216919
32,3415.54,0.431,0.49515,0.00543,0.92198,0.90968,0.94974,0.73789,0.41441,0.44588,0.00604,0.000212649,0.000212649,0.000212649
33,3522.07,0.43308,0.48955,0.00528,0.89732,0.89356,0.93,0.73068,0.41095,0.46517,0.00596,0.00020838,0.00020838,0.00020838
34,3628.45,0.43289,0.49435,0.00537,0.90239,0.90974,0.94192,0.73624,0.4125,0.43736,0.00604,0.000204111,0.000204111,0.000204111
35,3734.85,0.42529,0.46549,0.00523,0.93202,0.90868,0.94161,0.73937,0.41527,0.43227,0.006,0.000199841,0.000199841,0.000199841
36,3841.31,0.42284,0.46682,0.0052,0.90459,0.90458,0.94203,0.73794,0.40815,0.43786,0.00594,0.000195572,0.000195572,0.000195572
37,3947.8,0.4191,0.45221,0.00512,0.92451,0.90502,0.93737,0.74345,0.4042,0.44829,0.00585,0.000191303,0.000191303,0.000191303
38,4054.46,0.41257,0.45391,0.00497,0.92495,0.90299,0.93251,0.73843,0.40668,0.46704,0.00595,0.000187033,0.000187033,0.000187033
39,4160.97,0.4112,0.43909,0.00502,0.93162,0.89036,0.9446,0.7425,0.40768,0.45259,0.00596,0.000182764,0.000182764,0.000182764
40,4267.31,0.41064,0.44477,0.00504,0.93454,0.91154,0.95437,0.74518,0.406,0.43991,0.00591,0.000178494,0.000178494,0.000178494
41,4374.36,0.40932,0.44242,0.00496,0.89134,0.92969,0.95181,0.74449,0.41069,0.4479,0.00588,0.000174225,0.000174225,0.000174225
42,4480.77,0.40723,0.44185,0.00503,0.92749,0.91168,0.94597,0.74817,0.40181,0.43727,0.00578,0.000169956,0.000169956,0.000169956
43,4587.7,0.40902,0.43691,0.00505,0.92491,0.89091,0.9434,0.74396,0.39982,0.46362,0.00582,0.000165686,0.000165686,0.000165686
44,4694.59,0.40279,0.4174,0.00488,0.91974,0.9282,0.94083,0.74132,0.40513,0.45823,0.00587,0.000161417,0.000161417,0.000161417
45,4800.96,0.40077,0.4248,0.00491,0.92455,0.92791,0.94834,0.75158,0.3985,0.46455,0.00576,0.000157147,0.000157147,0.000157147
46,4907.75,0.39419,0.42243,0.00482,0.92148,0.92396,0.95189,0.74941,0.40306,0.44945,0.00578,0.000152878,0.000152878,0.000152878
47,5014.13,0.40354,0.42048,0.00494,0.933,0.94138,0.95699,0.7562,0.39982,0.44012,0.00576,0.000148609,0.000148609,0.000148609
48,5120.86,0.39377,0.40996,0.00482,0.9298,0.93274,0.95554,0.75858,0.39818,0.43072,0.00575,0.000144339,0.000144339,0.000144339
49,5227.64,0.39038,0.40482,0.00482,0.93881,0.91692,0.95492,0.75715,0.3981,0.43005,0.00577,0.00014007,0.00014007,0.00014007
50,5334.08,0.39333,0.39555,0.00485,0.92821,0.92092,0.95524,0.76151,0.39405,0.43424,0.00568,0.000135801,0.000135801,0.000135801
51,5441.51,0.38628,0.39274,0.0047,0.93324,0.90188,0.95107,0.75402,0.39747,0.42846,0.00572,0.000131531,0.000131531,0.000131531
52,5547.82,0.38786,0.39312,0.00472,0.93681,0.92032,0.95185,0.75695,0.39669,0.4276,0.00577,0.000127262,0.000127262,0.000127262
53,5654.22,0.38585,0.3895,0.00465,0.94162,0.91975,0.95727,0.75854,0.39738,0.41734,0.00573,0.000122992,0.000122992,0.000122992
54,5760.75,0.38095,0.38668,0.00468,0.94054,0.90685,0.94947,0.75554,0.39341,0.43715,0.00568,0.000118723,0.000118723,0.000118723
55,5866.81,0.37822,0.38621,0.00457,0.94821,0.91591,0.95931,0.7669,0.39572,0.42252,0.0057,0.000114454,0.000114454,0.000114454
56,5973.49,0.38203,0.38675,0.00473,0.94396,0.9086,0.95575,0.75967,0.39467,0.42562,0.00571,0.000110184,0.000110184,0.000110184
57,6079.93,0.37626,0.37624,0.0046,0.93822,0.93709,0.96121,0.76359,0.39385,0.43199,0.00574,0.000105915,0.000105915,0.000105915
58,6186.32,0.37599,0.37815,0.00457,0.94103,0.92711,0.96156,0.7588,0.39398,0.43058,0.0057,0.000101646,0.000101646,0.000101646
59,6292.96,0.37242,0.37051,0.00454,0.93316,0.91417,0.94356,0.75205,0.39511,0.43325,0.00569,9.73763e-05,9.73763e-05,9.73763e-05
60,6399.6,0.3705,0.36729,0.00447,0.93144,0.93891,0.96166,0.76762,0.39199,0.4365,0.00569,9.31069e-05,9.31069e-05,9.31069e-05
61,6506.72,0.37018,0.36225,0.00449,0.93813,0.9418,0.96094,0.76121,0.39173,0.43538,0.00565,8.88375e-05,8.88375e-05,8.88375e-05
62,6613.34,0.37248,0.36412,0.00453,0.93464,0.93741,0.96114,0.76159,0.39114,0.43389,0.00559,8.45681e-05,8.45681e-05,8.45681e-05
63,6719.57,0.37065,0.36939,0.00448,0.94737,0.92539,0.95728,0.7627,0.39212,0.41854,0.00563,8.02987e-05,8.02987e-05,8.02987e-05
64,6825.99,0.3625,0.35651,0.00442,0.95572,0.92998,0.96391,0.76562,0.39263,0.42489,0.00568,7.60294e-05,7.60294e-05,7.60294e-05
65,6932.39,0.36571,0.36298,0.00443,0.95246,0.91707,0.95485,0.76319,0.38955,0.43174,0.0056,7.176e-05,7.176e-05,7.176e-05
66,7038.84,0.36434,0.35338,0.0044,0.93441,0.94619,0.95985,0.76253,0.39304,0.42723,0.00563,6.74906e-05,6.74906e-05,6.74906e-05
67,7145.32,0.36075,0.35348,0.00439,0.93426,0.94507,0.96247,0.7658,0.38979,0.42858,0.00559,6.32213e-05,6.32213e-05,6.32213e-05
68,7251.74,0.36339,0.35294,0.0044,0.9017,0.93735,0.95631,0.76216,0.39108,0.42802,0.00563,5.89519e-05,5.89519e-05,5.89519e-05
69,7358.14,0.35989,0.3435,0.00438,0.91987,0.9422,0.96418,0.76896,0.38797,0.42063,0.00557,5.46825e-05,5.46825e-05,5.46825e-05
70,7464.75,0.35939,0.35059,0.00432,0.90785,0.93937,0.95605,0.76639,0.38931,0.42033,0.00563,5.04131e-05,5.04131e-05,5.04131e-05
71,7570.91,0.31695,0.25648,0.00474,0.94453,0.93546,0.9629,0.76237,0.39454,0.4319,0.00564,4.61438e-05,4.61438e-05,4.61438e-05
72,7676.54,0.31301,0.24769,0.00463,0.93636,0.94312,0.96208,0.75918,0.39495,0.42812,0.00566,4.18744e-05,4.18744e-05,4.18744e-05
73,7782.29,0.31382,0.24976,0.00466,0.94253,0.93689,0.96124,0.76136,0.39582,0.43154,0.00567,3.7605e-05,3.7605e-05,3.7605e-05
74,7887.94,0.3127,0.2491,0.00469,0.93873,0.94183,0.96051,0.76134,0.3958,0.42997,0.00568,3.33356e-05,3.33356e-05,3.33356e-05
75,7993.79,0.31164,0.24747,0.00465,0.9469,0.93418,0.95942,0.76248,0.39355,0.43013,0.00564,2.90662e-05,2.90662e-05,2.90662e-05
76,8099.54,0.30985,0.24425,0.0046,0.9502,0.91923,0.95233,0.75943,0.39304,0.43215,0.00563,2.47969e-05,2.47969e-05,2.47969e-05
77,8205.35,0.30613,0.24191,0.00453,0.95122,0.92041,0.95284,0.75856,0.39438,0.43086,0.00564,2.05275e-05,2.05275e-05,2.05275e-05
78,8311.18,0.3074,0.23842,0.00454,0.92983,0.92967,0.95145,0.75878,0.39363,0.43316,0.00562,1.62581e-05,1.62581e-05,1.62581e-05
79,8417.01,0.30604,0.24126,0.00452,0.93714,0.92766,0.95226,0.75879,0.39452,0.43082,0.00565,1.19888e-05,1.19888e-05,1.19888e-05
80,8522.68,0.30861,0.24387,0.00456,0.94348,0.92656,0.95232,0.75879,0.39408,0.42904,0.00563,7.71937e-06,7.71937e-06,7.71937e-06
