assignment_weight,fold,ship_threshold,general_threshold,eligible_pairs,holdout_recall,holdout_fdr,holdout_ship_recall,holdout_ship_fdr,status
0.25,0,,,0,,,,,no_feasible_pair
0.25,1,0.325,0.375,41,0.9720496894,0.0309597523,0.8125000000,0.1975308642,selected
0.25,2,0.325,0.375,40,0.9468085106,0.0546282246,0.7974683544,0.2588235294,selected
0.25,3,,,0,,,,,no_feasible_pair
0.25,4,,,0,,,,,no_feasible_pair
1.00,0,0.600,0.425,11,0.9486780715,0.0332805071,0.7777777778,0.1000000000,selected
1.00,1,0.600,0.425,25,0.9720496894,0.0264385692,0.8000000000,0.1466666667,selected
1.00,2,0.350,0.400,177,0.9589665653,0.0637982196,0.8227848101,0.3010752688,selected
1.00,3,,,0,,,,,no_feasible_pair
1.00,4,0.600,0.425,74,0.9689440994,0.0234744178,0.7951807229,0.1645569620,selected
