epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.589,0.63931,7.84827,0.0079,0.39648,0.36178,0.28778,0.19888,0.53235,4.45496,0.00774,0.000114758,0.000114758,0.000114758
2,219.101,0.58752,2.63046,0.0072,0.60942,0.59097,0.58374,0.42681,0.50675,1.97234,0.00748,0.000226915,0.000226915,0.000226915
3,328.705,0.58586,1.72424,0.0074,0.72106,0.65422,0.69649,0.49289,0.53393,1.31219,0.00788,0.000336226,0.000336226,0.000336226
4,437.823,0.58191,1.39229,0.00733,0.79313,0.6882,0.75014,0.55085,0.50486,1.09731,0.00755,0.000332192,0.000332192,0.000332192
5,546.405,0.56884,1.19944,0.00726,0.81775,0.74005,0.7903,0.57958,0.49328,0.91792,0.00738,0.000327922,0.000327922,0.000327922
6,655.108,0.55186,1.05498,0.00686,0.84004,0.75312,0.79943,0.58546,0.48547,0.88069,0.00725,0.000323653,0.000323653,0.000323653
7,764.029,0.5455,0.9361,0.00681,0.85045,0.75063,0.81454,0.60694,0.47209,0.74596,0.00685,0.000319384,0.000319384,0.000319384
8,873.44,0.53382,0.89168,0.00676,0.83604,0.77654,0.8155,0.61109,0.46334,0.72534,0.00684,0.000315114,0.000315114,0.000315114
9,982.68,0.53168,0.81213,0.0066,0.8402,0.78564,0.83965,0.62354,0.47226,0.64713,0.00708,0.000310845,0.000310845,0.000310845
10,1091.78,0.5196,0.75469,0.00655,0.89795,0.80329,0.86001,0.64894,0.45617,0.60151,0.00677,0.000306576,0.000306576,0.000306576
11,1200.97,0.51879,0.7332,0.00648,0.9069,0.80876,0.86247,0.63969,0.47384,0.57963,0.00697,0.000302306,0.000302306,0.000302306
12,1309.55,0.51961,0.7107,0.00652,0.82749,0.84933,0.87626,0.65324,0.45945,0.59635,0.00676,0.000298037,0.000298037,0.000298037
13,1418.12,0.50043,0.67912,0.00623,0.79895,0.88061,0.89828,0.68122,0.45615,0.60144,0.00661,0.000293768,0.000293768,0.000293768
14,1527.45,0.49809,0.66313,0.00622,0.89018,0.80604,0.8982,0.6798,0.46159,0.59715,0.0069,0.000289498,0.000289498,0.000289498
15,1636.23,0.49767,0.65607,0.00616,0.90836,0.84576,0.90688,0.6878,0.44856,0.53174,0.00668,0.000285229,0.000285229,0.000285229
16,1745.27,0.49479,0.61597,0.00618,0.85884,0.894,0.91598,0.69812,0.44263,0.51274,0.00645,0.000280959,0.000280959,0.000280959
17,1854.43,0.49082,0.59857,0.00612,0.8855,0.85593,0.89988,0.68742,0.45251,0.51748,0.00656,0.00027669,0.00027669,0.00027669
18,1962.85,0.48728,0.5946,0.00614,0.83025,0.9125,0.91163,0.68357,0.44976,0.49976,0.00667,0.000272421,0.000272421,0.000272421
19,2071.47,0.48319,0.56983,0.00603,0.91761,0.85244,0.90499,0.69393,0.43814,0.52236,0.0064,0.000268151,0.000268151,0.000268151
20,2179.85,0.4824,0.56509,0.00604,0.91845,0.87529,0.93231,0.71359,0.43976,0.48607,0.00647,0.000263882,0.000263882,0.000263882
21,2288.89,0.47244,0.53999,0.00593,0.87678,0.90421,0.92702,0.71139,0.43209,0.49038,0.00639,0.000259612,0.000259612,0.000259612
22,2396.97,0.47079,0.52879,0.00589,0.90259,0.88993,0.93066,0.72438,0.42208,0.46338,0.00619,0.000255343,0.000255343,0.000255343
23,2506.27,0.47038,0.52833,0.00584,0.89511,0.90596,0.92696,0.71519,0.43499,0.46271,0.00629,0.000251074,0.000251074,0.000251074
24,2615.47,0.46467,0.51527,0.00577,0.91285,0.89509,0.93419,0.7257,0.4283,0.46829,0.00623,0.000246804,0.000246804,0.000246804
25,2724.59,0.45868,0.50934,0.00582,0.88404,0.89952,0.92196,0.71649,0.42535,0.48702,0.00617,0.000242535,0.000242535,0.000242535
26,2833.49,0.45398,0.48317,0.00558,0.86024,0.90279,0.93458,0.72422,0.42371,0.44666,0.00613,0.000238266,0.000238266,0.000238266
27,2942.47,0.45156,0.47938,0.00559,0.91496,0.91097,0.93435,0.7325,0.41705,0.45727,0.00606,0.000233996,0.000233996,0.000233996
