class_id,class_name,coarse,baseline_tp,baseline_fp,baseline_fn,baseline_recall,baseline_fdr,gcd_oof_tp,gcd_oof_fp,gcd_oof_fn,gcd_oof_recall,gcd_oof_fdr
0,HM,ship,1,0,1,0.5,0.0,2,0,0,1.0,0.0
1,LQS,ship,4,0,1,0.8,0.0,5,0,0,1.0,0.0
2,QHS,ship,66,22,31,0.6804123711340206,0.25,66,31,31,0.6804123711340206,0.31958762886597936
3,MS,ship,237,51,61,0.7953020134228188,0.17708333333333334,250,56,48,0.8389261744966443,0.1830065359477124
4,A1_SU-35,aircraft,205,4,4,0.9808612440191388,0.019138755980861243,205,3,4,0.9808612440191388,0.014423076923076924
5,A2_C-130,aircraft,190,7,2,0.9895833333333334,0.03553299492385787,189,1,3,0.984375,0.005263157894736842
6,A3_C-17,aircraft,152,3,1,0.9934640522875817,0.01935483870967742,153,1,0,1.0,0.006493506493506494
7,A4_C-5,aircraft,73,5,3,0.9605263157894737,0.0641025641025641,75,5,1,0.9868421052631579,0.0625
8,A5_F-16,aircraft,138,1,26,0.8414634146341463,0.007194244604316547,142,0,22,0.8658536585365854,0.0
9,A6_TU-160,aircraft,50,2,0,1.0,0.038461538461538464,49,1,1,0.98,0.02
10,A7_E-3,aircraft,80,2,3,0.963855421686747,0.024390243902439025,82,0,1,0.9879518072289156,0.0
11,A8_B-52,aircraft,110,1,0,1.0,0.009009009009009009,110,0,0,1.0,0.0
12,A9_P-3C,aircraft,133,3,0,1.0,0.022058823529411766,133,2,0,1.0,0.014814814814814815
13,A10_B-1B,aircraft,110,1,1,0.990990990990991,0.009009009009009009,109,0,2,0.9819819819819819,0.0
14,A11_E-8,aircraft,62,8,3,0.9538461538461539,0.11428571428571428,61,6,4,0.9384615384615385,0.08955223880597014
15,A12_TU-22,aircraft,87,3,1,0.9886363636363636,0.03333333333333333,85,3,3,0.9659090909090909,0.03409090909090909
16,A13_F-15,aircraft,206,16,16,0.9279279279279279,0.07207207207207207,211,25,11,0.9504504504504504,0.1059322033898305
17,A14_KC-135,aircraft,205,9,6,0.9715639810426541,0.04205607476635514,203,14,8,0.9620853080568721,0.06451612903225806
18,A15_F-22,aircraft,73,19,0,1.0,0.20652173913043478,73,2,0,1.0,0.02666666666666667
19,A16_FA-18,aircraft,312,6,4,0.9873417721518988,0.018867924528301886,311,4,5,0.9841772151898734,0.012698412698412698
20,A17_TU-95,aircraft,165,1,0,1.0,0.006024096385542169,165,0,0,1.0,0.0
21,A18_KC-10,aircraft,36,0,2,0.9473684210526315,0.0,31,2,7,0.8157894736842105,0.06060606060606061
22,A19_SU-34,aircraft,150,20,3,0.9803921568627451,0.11764705882352941,151,9,2,0.9869281045751634,0.05625
23,A20_SU-24,aircraft,120,4,14,0.8955223880597015,0.03225806451612903,127,10,7,0.9477611940298507,0.072992700729927
24,FSC,vehicle,58,11,20,0.7435897435897436,0.15942028985507245,60,5,18,0.7692307692307693,0.07692307692307693
