epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3799,1.24506,8.10678,0.00755,0.44872,0.30445,0.24001,0.16475,1.09075,4.62377,0.00744,0.000114758,0.000114758,0.000114758
2,168.05,1.17243,2.74575,0.00692,0.57009,0.61455,0.58774,0.42516,1.06658,2.08946,0.00717,0.000226915,0.000226915,0.000226915
3,248.76,1.16414,1.8224,0.00698,0.67888,0.66328,0.68616,0.4952,1.08671,1.40518,0.00745,0.000336226,0.000336226,0.000336226
4,328.73,1.15733,1.45412,0.00692,0.76645,0.699,0.76071,0.56149,1.05025,1.08577,0.00713,0.000332192,0.000332192,0.000332192
5,409.038,1.12607,1.27529,0.00685,0.73313,0.7174,0.77847,0.57466,1.02865,1.01389,0.00706,0.000327922,0.000327922,0.000327922
6,489.942,1.10546,1.11255,0.0065,0.79937,0.73665,0.80402,0.60012,1.02048,0.89219,0.00706,0.000323653,0.000323653,0.000323653
7,570.79,1.08476,0.98568,0.0064,0.87227,0.76411,0.84851,0.64188,0.9908,0.73739,0.00664,0.000319384,0.000319384,0.000319384
8,651.178,1.06762,0.96777,0.00638,0.81824,0.77109,0.82971,0.62583,0.98713,0.75613,0.00664,0.000315114,0.000315114,0.000315114
9,731.921,1.05707,0.88171,0.00619,0.87497,0.77069,0.85451,0.63629,0.96458,0.68046,0.00642,0.000310845,0.000310845,0.000310845
10,812.566,1.03301,0.83189,0.00615,0.87759,0.78626,0.857,0.65433,0.95521,0.65418,0.00646,0.000306576,0.000306576,0.000306576
11,892.568,1.03665,0.80212,0.00611,0.87596,0.8035,0.87063,0.668,0.96445,0.61896,0.00643,0.000302306,0.000302306,0.000302306
12,973.277,1.02331,0.76711,0.00605,0.89192,0.79868,0.85898,0.65666,0.94507,0.61556,0.00637,0.000298037,0.000298037,0.000298037
13,1053.88,1.00895,0.7421,0.00592,0.89028,0.81813,0.87668,0.66903,0.94544,0.58616,0.00626,0.000293768,0.000293768,0.000293768
14,1134.49,0.99203,0.70866,0.00582,0.89909,0.80348,0.89398,0.68352,0.956,0.57942,0.00639,0.000289498,0.000289498,0.000289498
15,1215.28,0.99775,0.69881,0.00579,0.85994,0.83222,0.88722,0.67449,0.9649,0.59514,0.00651,0.000285229,0.000285229,0.000285229
16,1295.67,0.98215,0.66079,0.00575,0.90187,0.85123,0.90414,0.69693,0.92912,0.56997,0.00617,0.000280959,0.000280959,0.000280959
17,1375.52,0.97342,0.65162,0.0057,0.89956,0.86025,0.90406,0.70039,0.9289,0.53703,0.00624,0.00027669,0.00027669,0.00027669
18,1456.13,0.97037,0.64949,0.00574,0.82086,0.88868,0.90615,0.69536,0.93215,0.54459,0.00624,0.000272421,0.000272421,0.000272421
19,1536.53,0.95515,0.60855,0.00558,0.88476,0.84252,0.90029,0.70313,0.91412,0.52967,0.00602,0.000268151,0.000268151,0.000268151
20,1617.21,0.95706,0.6181,0.00561,0.87388,0.88408,0.90867,0.70466,0.92456,0.50767,0.0062,0.000263882,0.000263882,0.000263882
21,1697.45,0.93431,0.59751,0.00548,0.8608,0.86787,0.90986,0.70587,0.92009,0.53598,0.00607,0.000259612,0.000259612,0.000259612
22,1776.73,0.93878,0.59034,0.0055,0.90672,0.89311,0.92963,0.72825,0.90592,0.49024,0.00598,0.000255343,0.000255343,0.000255343
23,1857.04,0.93401,0.5818,0.00545,0.92207,0.86293,0.92102,0.72207,0.9029,0.48577,0.00601,0.000251074,0.000251074,0.000251074
24,1937.34,0.92562,0.574,0.00535,0.89745,0.88482,0.91945,0.72458,0.89698,0.5088,0.00589,0.000246804,0.000246804,0.000246804
25,2017.93,0.92327,0.55271,0.00549,0.90028,0.87589,0.92277,0.72301,0.89772,0.49165,0.00595,0.000242535,0.000242535,0.000242535
26,2097.9,0.90193,0.52994,0.00517,0.89135,0.86354,0.91193,0.72003,0.8908,0.49731,0.00592,0.000238266,0.000238266,0.000238266
27,2178.76,0.8989,0.52276,0.0052,0.91163,0.8931,0.93786,0.73851,0.88168,0.46669,0.00581,0.000233996,0.000233996,0.000233996
28,2259.45,0.89773,0.53068,0.00532,0.92418,0.87098,0.93968,0.73823,0.89231,0.46006,0.00586,0.000229727,0.000229727,0.000229727
29,2340.51,0.88133,0.51712,0.00512,0.90935,0.87419,0.91521,0.72333,0.87596,0.4884,0.00575,0.000225457,0.000225457,0.000225457
30,2420.31,0.88164,0.51903,0.00505,0.91247,0.84827,0.92468,0.73183,0.89136,0.49477,0.00589,0.000221188,0.000221188,0.000221188
31,2500.68,0.86999,0.48949,0.00505,0.9149,0.90247,0.93742,0.74313,0.88255,0.45877,0.00581,0.000216919,0.000216919,0.000216919
32,2580.73,0.87427,0.49955,0.00517,0.91268,0.88898,0.92911,0.73498,0.88057,0.47587,0.00581,0.000212649,0.000212649,0.000212649
33,2661.11,0.87338,0.4903,0.005,0.91968,0.87724,0.92602,0.7326,0.86915,0.48005,0.00571,0.00020838,0.00020838,0.00020838
34,2741.92,0.87486,0.49616,0.0051,0.90063,0.90262,0.93518,0.74069,0.88322,0.46159,0.00579,0.000204111,0.000204111,0.000204111
35,2822.06,0.86047,0.47038,0.00496,0.9189,0.9009,0.93232,0.73883,0.87156,0.46119,0.00569,0.000199841,0.000199841,0.000199841
36,2902.07,0.86014,0.46655,0.00496,0.90933,0.91115,0.93273,0.73968,0.86891,0.45861,0.00567,0.000195572,0.000195572,0.000195572
37,2982.67,0.84547,0.46154,0.00483,0.9002,0.88488,0.9292,0.73283,0.88365,0.45068,0.00573,0.000191303,0.000191303,0.000191303
38,3063.11,0.83303,0.4551,0.00469,0.90785,0.8942,0.93432,0.74375,0.88096,0.45275,0.00579,0.000187033,0.000187033,0.000187033
39,3144,0.83215,0.43507,0.00475,0.90065,0.91108,0.93861,0.74377,0.8775,0.44973,0.00578,0.000182764,0.000182764,0.000182764
40,3224.62,0.83407,0.45713,0.00479,0.91142,0.88399,0.9316,0.74361,0.85968,0.44729,0.00564,0.000178494,0.000178494,0.000178494
41,3304.38,0.82567,0.44101,0.0047,0.93169,0.89619,0.93386,0.73828,0.87892,0.45419,0.00574,0.000174225,0.000174225,0.000174225
42,3384.68,0.81909,0.44132,0.00476,0.9223,0.91083,0.94002,0.75323,0.86362,0.44453,0.00561,0.000169956,0.000169956,0.000169956
43,3465.34,0.82423,0.44495,0.00478,0.92579,0.90489,0.94352,0.75138,0.86788,0.4373,0.00566,0.000165686,0.000165686,0.000165686
44,3545.82,0.81165,0.42509,0.0046,0.90128,0.91511,0.93658,0.75023,0.86231,0.43548,0.00563,0.000161417,0.000161417,0.000161417
45,3626.71,0.809,0.42333,0.00464,0.92805,0.93472,0.95486,0.76088,0.87101,0.44619,0.0057,0.000157147,0.000157147,0.000157147
46,3707.33,0.80225,0.42279,0.0046,0.91163,0.91405,0.94038,0.75357,0.85694,0.44374,0.00556,0.000152878,0.000152878,0.000152878
47,3787.63,0.81398,0.42584,0.00467,0.92512,0.90128,0.94333,0.75192,0.87165,0.43868,0.0057,0.000148609,0.000148609,0.000148609
48,3868.1,0.79755,0.41596,0.00456,0.91754,0.89837,0.93822,0.75014,0.86646,0.45124,0.00564,0.000144339,0.000144339,0.000144339
49,3949.02,0.79043,0.40262,0.00458,0.92803,0.89971,0.94642,0.75767,0.87086,0.45208,0.00568,0.00014007,0.00014007,0.00014007
50,4029.83,0.78942,0.39977,0.00454,0.91436,0.91763,0.94992,0.75632,0.86555,0.44751,0.00568,0.000135801,0.000135801,0.000135801
51,4110.66,0.77695,0.39606,0.00441,0.94012,0.90955,0.93907,0.75089,0.85553,0.44826,0.00556,0.000131531,0.000131531,0.000131531
52,4191.35,0.77658,0.38955,0.00442,0.92924,0.91586,0.94063,0.75,0.86947,0.43978,0.00563,0.000127262,0.000127262,0.000127262
53,4271.63,0.77296,0.39133,0.00435,0.92696,0.91755,0.94133,0.75336,0.86627,0.44449,0.00563,0.000122992,0.000122992,0.000122992
54,4351.91,0.76409,0.38749,0.00437,0.92885,0.92147,0.93846,0.75026,0.8604,0.44303,0.00558,0.000118723,0.000118723,0.000118723
55,4432.15,0.76577,0.38444,0.00431,0.94469,0.90282,0.94186,0.75744,0.86901,0.43822,0.00564,0.000114454,0.000114454,0.000114454
56,4512.38,0.76648,0.3878,0.00446,0.9268,0.92339,0.94211,0.75151,0.86855,0.44573,0.00568,0.000110184,0.000110184,0.000110184
57,4593.39,0.75296,0.37683,0.0043,0.93816,0.91132,0.9421,0.75555,0.86631,0.44814,0.00564,0.000105915,0.000105915,0.000105915
58,4674.15,0.75292,0.38637,0.00427,0.91929,0.91343,0.93742,0.75177,0.85992,0.45197,0.00562,0.000101646,0.000101646,0.000101646
59,4755.06,0.74869,0.37185,0.00428,0.93462,0.91548,0.94074,0.75448,0.85732,0.44472,0.00559,9.73763e-05,9.73763e-05,9.73763e-05
60,4835.79,0.74009,0.36858,0.00416,0.92574,0.90904,0.93491,0.75177,0.85701,0.46228,0.00561,9.31069e-05,9.31069e-05,9.31069e-05
61,4916.27,0.73783,0.36479,0.00416,0.93158,0.91507,0.93597,0.75393,0.86294,0.44053,0.00562,8.88375e-05,8.88375e-05,8.88375e-05
62,4996.82,0.74619,0.36513,0.00425,0.93316,0.91744,0.94775,0.7661,0.85559,0.45849,0.00558,8.45681e-05,8.45681e-05,8.45681e-05
63,5077.34,0.73973,0.36964,0.00418,0.92803,0.91909,0.94144,0.75923,0.86102,0.45051,0.00563,8.02987e-05,8.02987e-05,8.02987e-05
64,5157.62,0.72019,0.3525,0.0041,0.92996,0.92485,0.93548,0.75218,0.85776,0.4494,0.00558,7.60294e-05,7.60294e-05,7.60294e-05
65,5237.6,0.72769,0.3591,0.00411,0.93191,0.91829,0.93314,0.75087,0.85452,0.44842,0.00556,7.176e-05,7.176e-05,7.176e-05
66,5317.44,0.72767,0.35091,0.00411,0.94095,0.91348,0.9349,0.75061,0.85728,0.45386,0.00555,6.74906e-05,6.74906e-05,6.74906e-05
67,5398.05,0.71734,0.34809,0.00408,0.93692,0.9175,0.93369,0.75112,0.8523,0.45817,0.00555,6.32213e-05,6.32213e-05,6.32213e-05
68,5479.34,0.72269,0.35137,0.0041,0.92798,0.92735,0.93449,0.75097,0.85415,0.4508,0.00555,5.89519e-05,5.89519e-05,5.89519e-05
69,5559.7,0.71282,0.34379,0.00405,0.93719,0.92149,0.93542,0.75494,0.85104,0.44666,0.00553,5.46825e-05,5.46825e-05,5.46825e-05
70,5640.64,0.71759,0.34447,0.00404,0.9372,0.92114,0.9403,0.75836,0.85227,0.4489,0.00553,5.04131e-05,5.04131e-05,5.04131e-05
71,5721.82,0.65188,0.24841,0.00439,0.95098,0.90337,0.93808,0.75921,0.85239,0.44687,0.00551,4.61438e-05,4.61438e-05,4.61438e-05
72,5801.37,0.63826,0.24517,0.00424,0.94082,0.91232,0.93527,0.75433,0.85249,0.44912,0.00552,4.18744e-05,4.18744e-05,4.18744e-05
73,5882.45,0.64061,0.24168,0.00428,0.93703,0.92348,0.94794,0.76022,0.85652,0.44523,0.00556,3.7605e-05,3.7605e-05,3.7605e-05
74,5962.63,0.63552,0.24468,0.00429,0.93954,0.92275,0.95074,0.76574,0.85127,0.45093,0.00553,3.33356e-05,3.33356e-05,3.33356e-05
75,6042.98,0.63249,0.24219,0.00424,0.92727,0.92102,0.94417,0.76307,0.85315,0.44872,0.00553,2.90662e-05,2.90662e-05,2.90662e-05
76,6122.68,0.63097,0.23485,0.0042,0.92622,0.92457,0.93589,0.75654,0.85578,0.44446,0.00554,2.47969e-05,2.47969e-05,2.47969e-05
77,6203.38,0.62409,0.23356,0.00416,0.93352,0.91898,0.93643,0.75843,0.85632,0.44608,0.00555,2.05275e-05,2.05275e-05,2.05275e-05
78,6284.22,0.62209,0.22984,0.00412,0.93865,0.91911,0.9357,0.75671,0.85759,0.44787,0.00556,1.62581e-05,1.62581e-05,1.62581e-05
79,6364.23,0.62173,0.23327,0.00413,0.94411,0.91165,0.93512,0.75571,0.85983,0.44772,0.00558,1.19888e-05,1.19888e-05,1.19888e-05
